question,response_j,response_k,id_lst
"스크럽으로 얼굴을 닦았다.
     다음 결과에 적절한 답은 무엇일까요?",얼굴 각질이 제거되었다.,얼굴 각질이 생겼다.,Hellaswag
"스케이트를 오랜 시간 탔다.
     다음 결과에 적절한 답은 무엇일까요?",발이 얼었다.,발이 녹았다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {이번,사고,사람,희생되다,많다}
1. 이번에는 사람들이 너무 많아서 문제가 되었다.
2. 이번에 일어난 사고로 많은 사람이 희생되었다.
3. 이번 사고로 많은 사람이 다쳤다.
4. 희생되다는 단어의 뜻을 모두가 알아야 한다.",2. 이번에 일어난 사고로 많은 사람이 희생되었다.,4. 희생되다는 단어의 뜻을 모두가 알아야 한다.,Kocommon_Gen
"메주와 소금물을 섞어 발효시킨다.
     다음 결과에 적절한 답은 무엇일까요?",간장과 된장이 만들어진다.,고추장과 쌈장이 만들어진다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {부족하다,인력,관련,비하다,건수,발생,미아}
1. 그는 다른 사람을 비하하는 경향이 있다.
2. 건수가 늘어나는 문제에 대한 인력이 부족하다.
3. 관련 문서를 찾는데 어려움이 발생했다.
4. 최근 미아 발생 건수에 비해 관련 인력이 턱없이 부족하다.",4. 최근 미아 발생 건수에 비해 관련 인력이 턱없이 부족하다.,3. 관련 문서를 찾는데 어려움이 발생했다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {날아오르다,바라다,선수}
1. 저 새가 날아오르는 것을 보니 마음이 평온해진다.
2. 하늘을 바라보며 소원을 빌었다.
3. 그 선수는 항상 최선을 다한다.
4. 저 선수가 멀리 날아오르기를 간절히 바랐다.",4. 저 선수가 멀리 날아오르기를 간절히 바랐다.,3. 그 선수는 항상 최선을 다한다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {차,도착하다,군인,인사,하다}
1. 인사를 할 때는 예의를 지켜야 한다.
2. 차가 곧 도착할 예정이다.
3. 차가 도착하자 모든 군인이 인사를 했다.
4. 군인이 도착하자 인사를 하였다.",3. 차가 도착하자 모든 군인이 인사를 했다.,2. 차가 곧 도착할 예정이다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {털다,다녀오다,주머니,여행}
1. 나는 환전소에서 돈을 털었다.
2. 내 주머니에서 지갑을 잃어버렸어.
3. 주머니를 톡톡 털어서 휴식을 위한 여행을 다녀왔다.
4. 그는 여행을 너무 좋아해서 주말마다 여행을 간다.",3. 주머니를 톡톡 털어서 휴식을 위한 여행을 다녀왔다.,1. 나는 환전소에서 돈을 털었다.,Kocommon_Gen
"남자가 근육통이 심한 부위에 물리치료를 받았다.
     다음 결과에 적절한 답은 무엇일까요?",남자의 근육통이 완화되었다.,남자의 근육통이 심해졌다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {경찰,증거,찾다,하다}
1. 경찰은 범인이 남긴 증거를 찾지 못했다고 했다.
2. 그는 경찰에게 도움을 요청했다.
3. 증거를 찾기 위한 작업이 어렵다.
4. 경찰이 증거 없이 수사를 진행하였다.",1. 경찰은 범인이 남긴 증거를 찾지 못했다고 했다.,4. 경찰이 증거 없이 수사를 진행하였다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {나이,어리다,사람,하다,되다}
1. 그 사람은 나이가 많다.
2. 아이가 어리다.
3. 하루가 되다 싶으면 문제를 해결해야 한다.
4. 아무리 나이가 어리다고 사람을 함부로 하면 절대 안 된다.",4. 아무리 나이가 어리다고 사람을 함부로 하면 절대 안 된다.,2. 아이가 어리다.,Kocommon_Gen
"교과서가 찢어졌다.
     다음 결과에 적절한 답은 무엇일까요?",교과서를 테이프로 붙인다.,교과서에 이름을 쓴다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {대중들,요구,각색}
1. 영화 감독은 원작 소설을 각색했다.
2. 요구 사항을 충족시키기 위해 노력하고 있다. 
3. 최근 들어 대중들의 요구가 점점 각색이다.
4. 대중들은 새로운 법안에 대해 걱정하고 있다.",3. 최근 들어 대중들의 요구가 점점 각색이다.,1. 영화 감독은 원작 소설을 각색했다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {강원,남부,지역,식수난,벗어나다,되다,기나길다}
1. 강원 남부 지역의 농가들은 기나긴 식수난에서 벗어나게 되었다.
2. 식수난에 벗어나기 위해서는 효율적인 관리가 필요하다.
3. 남부 지역의 가뭄이 기나길다.
4. 강원 지역에서 식수난이 심각한 문제가 되었다.",1. 강원 남부 지역의 농가들은 기나긴 식수난에서 벗어나게 되었다.,3. 남부 지역의 가뭄이 기나길다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {설비,직무,자격증,사람,우대하다}
1. 직무 경험이 많은 사람이 취업 시장에서 유리하다.
2. 사람들은 직무에 관련된 자격증을 취득하려고 노력한다.
3. 설비 직무는 자격증을 소지한 사람을 우대한다.
4. 적합한 설비를 갖춘 회사가 직원을 우대한다.",3. 설비 직무는 자격증을 소지한 사람을 우대한다.,4. 적합한 설비를 갖춘 회사가 직원을 우대한다.,Kocommon_Gen
"치약이 다 떨어졌다.
     다음 결과에 적절한 답은 무엇일까요?",새로운 치약을 샀다.,치약이 맵다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {걸려들다,누구,취조하다,마구잡이,작정하다}
1. 그는 마구잡이로 물건을 집어던졌다.
2. 경찰이 범인을 취조하고 있다.
3. 누구든 마구잡이로 취조하면 틀림없이 걸려들 작정했다.
4. 누구나 실수는 할 수 있다.",3. 누구든 마구잡이로 취조하면 틀림없이 걸려들 작정했다.,4. 누구나 실수는 할 수 있다.,Kocommon_Gen
"맨발로 유리조각을 밟았다.
     다음 결과에 적절한 답은 무엇일까요?",발에 상처가 난다.,유리가 깨진다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {가다,좋다,남다,이곳}
1. 이곳은 매우 좋아 보인다.
2. 많은 사람들이 그 장소를 가기를 좋아한다.
3. 이곳에 혼자 남지 말고 다른 데로 가는 게 좋다.
4. 여기가 남는 것은 실망스러웠다.",3. 이곳에 혼자 남지 말고 다른 데로 가는 게 좋다.,4. 여기가 남는 것은 실망스러웠다.,Kocommon_Gen
"아이가 모르고 자다가 쉬를 쌌다.
     다음 결과에 적절한 답은 무엇일까요?",이불이 젖었다.,이불이 건조하게 말랐다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {시간,늘다,캐다,광부들,석탄,작업}
1. 석탄을 캐는 광부들의 작업 시간이 점점 늘고 있다.
2. 석탄 산업은 시간이 지남에 따라 변화하고 있다. 
3. 늘어나는 석탄 수요를 충족하기 위해 작업 시간이 늘어났다. 
4. 광부들은 캐다 지치지 않고, 지속적으로 석탄을 추출한다. ",1. 석탄을 캐는 광부들의 작업 시간이 점점 늘고 있다.,3. 늘어나는 석탄 수요를 충족하기 위해 작업 시간이 늘어났다. ,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {긋다,밑줄,부분,강조하다}
1. 중요한 부분은 강조하다.
2. 밑줄을 긋는 것은 강조를 의미한다.
3. 그 부분에 밑줄을 긋다.
4. 강조해야 할 부분에 굵은 펜을 이용해 밑줄을 그었다.",4. 강조해야 할 부분에 굵은 펜을 이용해 밑줄을 그었다.,1. 중요한 부분은 강조하다.,Kocommon_Gen
"영화 티켓이 있는데 영화를 보지 못했다.
     다음 원인에 적절한 답은 무엇일까요?",영화 상영 시간에 늦었다.,영화가 재미있다.,Hellaswag
"건물이 무너졌다.
     다음 결과에 적절한 답은 무엇일까요?",많은 사상자가 발생했다.,건물에 균열이 생겼다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {그,가로채다,경찰,잡히다}
1. 그가 도망치다가 결국 경찰에게 발각되었다.
2. 경찰은 그를 뒤쫓아가다 포기해야 했다.
3. 가로채다 실패한 도둑이 있었다.
4. 그는 돈을 가로채 달아났다가 잠복 중인 경찰에 잡혔다.",4. 그는 돈을 가로채 달아났다가 잠복 중인 경찰에 잡혔다.,2. 경찰은 그를 뒤쫓아가다 포기해야 했다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {조용하다,얼씬대다,쥐새끼,그곳}
1. 쥐새끼 한 마리가 방 안에서 발견되었다.
2. 그곳은 쥐새끼도 한 마리 얼씬대지 못할 만큼 매우 조용했다.
3. 얼씬대지 않고 조용히 있어라.
4. 그곳은 상당히 조용했다.",2. 그곳은 쥐새끼도 한 마리 얼씬대지 못할 만큼 매우 조용했다.,1. 쥐새끼 한 마리가 방 안에서 발견되었다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {퍼붓다,공격,마을,지나가다,전투기}
1. 그 지역은 공격으로 인해 큰 피해를 입었다.
2. 전투기가 하늘을 지나가며 소음을 만들었다.
3. 전투기가 지나가자 마을에 일제히 공격을 퍼부었다.
4. 마을에 갑자기 폭우가 퍼붓기 시작했다.",3. 전투기가 지나가자 마을에 일제히 공격을 퍼부었다.,1. 그 지역은 공격으로 인해 큰 피해를 입었다.,Kocommon_Gen
"끓는 물에 달걀을 넣었다.
     다음 결과에 적절한 답은 무엇일까요?",달걀이 익었다.,달걀이 커졌다.,Hellaswag
"식당에서 판매한 음식이 상했다.
     다음 결과에 적절한 답은 무엇일까요?",식당에서 식사한 사람들이 배탈이 났다.,식당에서 유통기한이 지난 식재료를 사용했다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {짖다,개,조용하다,울림,사방}
1. 사방이 조용하니 편안하다.
2. 조용한 곳에서는 소리가 더욱 울린다.
3. 사방이 조용한 이유는 개 짖는 울림 때문이었다.
4. 개는 때때로 크게 짖는다.",3. 사방이 조용한 이유는 개 짖는 울림 때문이었다.,1. 사방이 조용하니 편안하다.,Kocommon_Gen
"택배가 도착했다.
     다음 원인에 적절한 답은 무엇일까요?",인터넷으로 상품을 주문했다.,인터넷에서 상품을 구경했다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {소중하다,생명,내용,중심,철학,교육}
1. 내용이 충실한 교육은 학생들의 삶에 긍정적인 영향을 준다.
2. 교육 철학의 중심 내용은 인간이 지닌 생명의 소중함이었다.
3. 철학에서는 생명의 중요성에 대해 많이 다룬다.
4. 중심을 잃지 않는 것이 어떤 사상이나 철학의 기본이다.",2. 교육 철학의 중심 내용은 인간이 지닌 생명의 소중함이었다.,4. 중심을 잃지 않는 것이 어떤 사상이나 철학의 기본이다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {받다,자격증,보호사,요양,마치다,교육}
1. 보호사는 교육 과정을 받았다.
2. 교육을 마치고 시험에 통과하면 요양 보호사 자격증을 받는다.
3. 요양 교육은 매우 중요하다.
4. 그는 자격증을 마쳤다.",2. 교육을 마치고 시험에 통과하면 요양 보호사 자격증을 받는다.,3. 요양 교육은 매우 중요하다.,Kocommon_Gen
"여자의 입술에서 피가 난다.
     다음 원인에 적절한 답은 무엇일까요?",여자가 입술을 뜯었다.,여자가 등을 긁었다.,Hellaswag
"전망대에 올라갔다.
     다음 결과에 적절한 답은 무엇일까요?",경치가 좋다.,엘리베이터에 탔다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {모르다,뭐,스케이트,그때,나}
1. 뭐가 그렇게 중요한가?
2. 나는 그때 스케이트가 도대체 뭔지도 몰랐다.
3. 나는 스케이트를 못 타.
4. 그때 스케이트를 타러 간다.",2. 나는 그때 스케이트가 도대체 뭔지도 몰랐다.,3. 나는 스케이트를 못 타.,Kocommon_Gen
"회사에서 동료 평가를 실시하겠다고 예고했다.
     다음 결과에 적절한 답은 무엇일까요?",팀원들이 성실하게 프로젝트에 참여했다.,회사의 프로젝트가 엉망이 되었다.,Hellaswag
"아이는 놀이기구를 탈 수 없다.
     다음 원인에 적절한 답은 무엇일까요?",아이는 놀이기구 탑승 허용 연령이 되지 않았다.,아이는 놀이기구 탑승 허용 연령이 되었다.,Hellaswag
"소년의 엄마가 한숨을 쉬었다.
     다음 원인에 적절한 답은 무엇일까요?",소년이 시험을 망쳤다.,소년이 숙제를 훌륭하게 끝냈다.,Hellaswag
"감독이 슬레이트를 쳤다.
     다음 결과에 적절한 답은 무엇일까요?",촬영이 시작되었다.,배우가 작품에서 하차했다.,Hellaswag
"여자가 진통을 겪기 시작했다.
     다음 결과에 적절한 답은 무엇일까요?",아이가 태어났다.,여자가 임신을 했다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {씨근씨근하다,잠들다,같다,얼굴,천사,아이}
1. 이 두 물건은 색깔이 같다.
2. 그 아이의 얼굴은 천사처럼 예쁘다.
3. 아이는 어느새 천사 같은 얼굴로 씨근씨근하며 푹 잠들어 있다.
4. 씨근씨근한 통증이 계속되어 잘 잠들지 못했다.",3. 아이는 어느새 천사 같은 얼굴로 씨근씨근하며 푹 잠들어 있다.,2. 그 아이의 얼굴은 천사처럼 예쁘다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {전하다,송이,장미,지수,나}
1. 나는 지수에게 장미 꽃 한 송이를 전했다.
2. 전하야 말씀을 잘 듣고 따르라.
3. 나는 장미를 매우 좋아한다.
4. 지수가 높은 날씨는 불쾌지수도 올라간다.",1. 나는 지수에게 장미 꽃 한 송이를 전했다.,3. 나는 장미를 매우 좋아한다.,Kocommon_Gen
"작품을 만졌더니 물감이 묻었다.
     다음 원인에 적절한 답은 무엇일까요?",물감이 다 마르지 않았다.,물감이 다 말랐다.,Hellaswag
"물을 냉장고에 얼렸다.
     다음 결과에 적절한 답은 무엇일까요?",얼음이 만들어졌다.,물이 끓었다.,Hellaswag
"친구들이 보드게임 진행 방법을 내게 설명해주었다.
     다음 결과에 적절한 답은 무엇일까요?",나는 보드게임 하는 법을 배웠다.,나는 보드게임 하는 법을 모른다.,Hellaswag
"열사병에 걸린 환자의 수가 증가했다.
     다음 원인에 적절한 답은 무엇일까요?",폭염이 계속된다.,한파가 계속된다.,Hellaswag
"아이는 교정을 시작했다.
     다음 원인에 적절한 답은 무엇일까요?",아이에게서 덧니가 나기 시작했다.,아이의 이가 썩었다.,Hellaswag
"무릎에 연고를 발랐다.
     다음 원인에 적절한 답은 무엇일까요?",무릎에 상처가 났다.,발목 관절이 아팠다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {고양이,지붕,올라가다}
1. 지붕에서 본 경치가 아름답다.
2. 어미 고양이와 새끼 고양이가 함께 높은 지붕에 올라갔다.
3. 그 아이는 나무 위로 올라가다 떨어졌다.
4. 고양이가 좋아하는 음식은 생선이다.",2. 어미 고양이와 새끼 고양이가 함께 높은 지붕에 올라갔다.,4. 고양이가 좋아하는 음식은 생선이다.,Kocommon_Gen
"해외 출장이 일주일 연기되었다.
     다음 결과에 적절한 답은 무엇일까요?",비행편을 변경했다.,미리 예약한 비행기에 탑승했다.,Hellaswag
"영화가 매우 재미있었다.
     다음 결과에 적절한 답은 무엇일까요?",영화 평점을 높게 주었다.,영화 평점을 낮게 주었다.,Hellaswag
"지갑에 현금이 없다.
     다음 결과에 적절한 답은 무엇일까요?",현금인출기에서 현금을 인출했다.,갖고 있는 돈을 모두 은행에 예금했다.,Hellaswag
"버스에 탈 수 없었다.
     다음 원인에 적절한 답은 무엇일까요?",버스카드를 가지고 나오지 않았다.,버스카드에 돈을 충전했다.,Hellaswag
"배가 거친 풍랑을 만나 길을 잃었다.
     다음 결과에 적절한 답은 무엇일까요?",배가 예상치 못한 곳에 도착했다.,배가 안전히 목적지에 도착했다.,Hellaswag
"그 여성은 남성에게 번호를 주었다.
     다음 원인에 적절한 답은 무엇일까요?",그 여성은 남성이 마음에 들었다.,그 여성은 남성에게 혐오감을 느꼈다.,Hellaswag
"유언장의 법적 효력이 인정되었다.
     다음 원인에 적절한 답은 무엇일까요?",변호사가 남자의 유언장을 공증했다.,판사가 남자의 유언장이 법적 효력이 없다고 판결했다.,Hellaswag
"머리가 흘러내려서 거추장스럽다.
     다음 결과에 적절한 답은 무엇일까요?",머리를 머리끈으로 묶는다.,머리끈을 만들어서 팔았다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {먹다,싸다,소고기,횡성}
1. 소고기는 매우 맛있다.
2. 횡성에 가면 맛있는 것을 먹을 수 있다.
3. 횡성에서는 다른 지역보다 소고기를 싸게 먹을 수 있다.
4. 싸다고 해서 모든 것을 사야 하는 것은 아니다.",3. 횡성에서는 다른 지역보다 소고기를 싸게 먹을 수 있다.,1. 소고기는 매우 맛있다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {소식,전하다,은행,채용}
1. 은행에서 채용 공고가 있습니다.
2. 은행은 직원들에게 채용 소식을 전하지 않았다.
3. 채용 정보를 전해 주세요.
4. 은행에 새로운 소식이 있나요?",2. 은행은 직원들에게 채용 소식을 전하지 않았다.,4. 은행에 새로운 소식이 있나요?,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {질환,늘다,현대인들,두피,고통,받다}
1. 많은 현대인들이 질환을 경험한다.
2. 두피 관리가 중요하다고 늘 말한다.
3. 요즘 두피 질환으로 고통을 받는 현대인들이 늘고 있다.
4. 고통을 받을 때 도움을 구해야 한다.",3. 요즘 두피 질환으로 고통을 받는 현대인들이 늘고 있다.,1. 많은 현대인들이 질환을 경험한다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {어머니,기어들다,안,품}
1. 어머니는 마음이 넓어 모두를 품다.
2. 그는 기어들다가 천천히 문을 열었다.
3. 아이는 어머니의 품 안으로 기어들어 갔다.
4. 이 집의 안을 살펴보세요.",3. 아이는 어머니의 품 안으로 기어들어 갔다.,1. 어머니는 마음이 넓어 모두를 품다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {없다,걱정,주인아주머니,하숙집,잘하다}
1. 그 하숙집은 아주 훌륭해서 다들 잘이란다.
2. 하숙집 주인아주머니는 나에게 걱정은 전혀 없으시며 잘하셨다.
3. 주인아주머니가 요리를 잘하시네요.
4. 네 걱정은 이제 하지 않아도 돼요.",2. 하숙집 주인아주머니는 나에게 걱정은 전혀 없으시며 잘하셨다.,3. 주인아주머니가 요리를 잘하시네요.,Kocommon_Gen
"시력이 나빠졌다.
     다음 결과에 적절한 답은 무엇일까요?",안경을 맞춘다.,지팡이를 새로 맞춘다.,Hellaswag
"여자는 땅콩을 먹고 온 몸에 두드러기가 났다.
     다음 원인에 적절한 답은 무엇일까요?",여자는 땅콩 알레르기가 있다.,여자는 땅콩을 좋아한다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {앉다,차리다,그,격식,바르다}
1. 그 사람은 바를 잘 앉는다.
2. 그는 항상 격식을 차린다.
3. 그는 격식을 중요시한다.
4. 배운 집안의 그는 격식 바르게 차리고 앉았다.",4. 배운 집안의 그는 격식 바르게 차리고 앉았다.,2. 그는 항상 격식을 차린다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {열다,입,어물쩍거리다,그}
1. 입이 다물어지질 않네.
2. 어물쩍거리는 태도에 답답함을 느꼈다.
3. 그가 문을 열었다.
4. 그는 자꾸 어물쩍거리며 겨우 입을 열었다.",4. 그는 자꾸 어물쩍거리며 겨우 입을 열었다.,1. 입이 다물어지질 않네.,Kocommon_Gen
"살이 쪘다.
     다음 결과에 적절한 답은 무엇일까요?",옷이 작아졌다.,옷이 커졌다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {만들다,반찬,절이다,오이,나}
1. 절이다가 어려운 과정이다.
2. 반찬으로 오이를 추가했다.
3. 나는 오이를 절여 오이지 등 여러 가지 반찬으로 만들었다.
4. 나는 반찬을 만들기 좋아한다.",3. 나는 오이를 절여 오이지 등 여러 가지 반찬으로 만들었다.,1. 절이다가 어려운 과정이다.,Kocommon_Gen
"구급차가 도착했다.
     다음 결과에 적절한 답은 무엇일까요?",환자가 병원으로 이송됐다.,환자가 퇴원했다.,Hellaswag
"여자가 남자에게 메일을 보냈다.
     다음 결과에 적절한 답은 무엇일까요?",남자의 수신함에 메일이 도착했다.,여자의 수신함에 메일이 도착했다.,Hellaswag
"벽에 페인트 칠을 했다.
     다음 결과에 적절한 답은 무엇일까요?",벽에 있던 얼룩이 사라졌다.,페인트를 새로 샀다.,Hellaswag
"가방끈이 떨어졌다.
     다음 원인에 적절한 답은 무엇일까요?",가방에 무거운 전공 책을 여러 권 넣고 다녔다.,가방을 새로 사서 처음 멨다.,Hellaswag
"새로운 도시로 이사를 갔다.
     다음 결과에 적절한 답은 무엇일까요?",전학을 하게 되었다.,도서관에 가서 책을 빌렸다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {번지다,빠르다,구제역,속도}
1. 그 차의 속도가 빠르다.
2. 지방에서 시작된 구제역이 빠른 속도로 번져 나가고 있다.
3. 구제역이 발생하여 많은 가축이 죽었다.
4. 저희 제품이 시장에서 번지고 있습니다.",2. 지방에서 시작된 구제역이 빠른 속도로 번져 나가고 있다.,1. 그 차의 속도가 빠르다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {로스쿨,민준이,준비하다,진학}
1. 로스쿨에 진학하는 것은 많은 준비를 필요로 한다.
2. 민준이는 요즘 로스쿨 진학을 준비하는 중이다.
3. 민준이는 대학원에 진학하려고 한다.
4. 준비하다가 중요한 역할을 하는 것은 목표를 설정하는 것이다.",2. 민준이는 요즘 로스쿨 진학을 준비하는 중이다.,4. 준비하다가 중요한 역할을 하는 것은 목표를 설정하는 것이다.,Kocommon_Gen
"찹쌀가루를 반죽해 익혔다.
     다음 결과에 적절한 답은 무엇일까요?",떡이 만들어졌다.,빵이 만들어졌다.,Hellaswag
"두피마사지를 받았다.
     다음 결과에 적절한 답은 무엇일까요?",두피의 피로가 풀렸다.,두피가 더러워졌다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {그녀,말하다,연화}
1. 그녀는 언제나 밝은 연화를 닮은 미소를 지녔다.
2. 연화는 아름다운 것이라 사람들은 평가한다.
3. 기분이 나빴지만 연화는 그녀에게 계속 공손히 말했다.
4. 말한다는 것은 생각을 전달하는 중요한 방법이다.",3. 기분이 나빴지만 연화는 그녀에게 계속 공손히 말했다.,2. 연화는 아름다운 것이라 사람들은 평가한다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {들리다,크다,시계,조용하다,주변,소리}
1. 조용한 주변에서 큰 소리가 들렸다.
2. 시계 소리가 크게 들리는 방이 조용하다고 느껴진다.
3. 주변이 굉장히 조용해서 시계 소리가 크게 들린다.
4. 주변이 시끄러워서 큰 시계 소리가 들리지 않는다.",3. 주변이 굉장히 조용해서 시계 소리가 크게 들린다.,2. 시계 소리가 크게 들리는 방이 조용하다고 느껴진다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {한국,대표,훈련,펼치다,당장,팀,소집}
1. 한국 대표 팀은 지금 당장 소집 훈련을 펼칠 것이다.
2. 당장 한국 팀의 훈련이 필요하다.
3. 대표 팀이 소집되어 훈련을 펼친다.
4. 팀 훈련은 내일부터 대표를 중심으로 시작된다.",1. 한국 대표 팀은 지금 당장 소집 훈련을 펼칠 것이다.,2. 당장 한국 팀의 훈련이 필요하다.,Kocommon_Gen
"사장이 거래 서류에 서명했다.
     다음 결과에 적절한 답은 무엇일까요?",거래가 이루어졌다.,거래가 취소되었다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {우리,받아들이다,집주인,집세,요구하다}
1. 집주인은 집세 인상을 요구했다.
2. 집세가 올라 우리 가족은 예산을 다시 세워야 했다.
3. 대부분의 사람들은 변화를 받아들이기 힘들어한다.
4. 집주인이 우리에게 집세를 받아들이라고 강력히 요구했다.",4. 집주인이 우리에게 집세를 받아들이라고 강력히 요구했다.,2. 집세가 올라 우리 가족은 예산을 다시 세워야 했다.,Kocommon_Gen
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {지수,말,나머지,지껄이다,당황하다}
1. 당황하지 않고 차분히 지껄이는 법을 배워야 한다.
2. 지수가 아무 말이나 지껄여서 당황한 나머지 혼이 빠졌다.
3. 말은 때로 사람을 당황하게 만든다.
4. 지수는 수학 시험에서 나머지 문제를 풀지 못했다.",2. 지수가 아무 말이나 지껄여서 당황한 나머지 혼이 빠졌다.,1. 당황하지 않고 차분히 지껄이는 법을 배워야 한다.,Kocommon_Gen
"그림이 입체적으로 보였다.
     다음 원인에 적절한 답은 무엇일까요?",그림에 음영을 강조했다.,그림의 물감을 다 말렸다.,Hellaswag
"태양 아래 오랫동안 서 있었다.
     다음 결과에 적절한 답은 무엇일까요?",얼굴이 새카맣게 탔다.,해가 떴다.,Hellaswag
"다음 주어진 concept set의 단어를 모두 사용하여 만든 문장들 중 가장 적절한 것을 고르세요.
concept set: {되다,보이다,어린아이,손자,성인,눈,할머니}
1. 할머니 눈에는 이제 성인이 된 손자도 여전히 어린아이처럼 보인다.
2. 성인이 되어도 손자는 언제나 할머니 눈에는 어려 보인다.
3. 어린아이가 할머니처럼 보인다.
4. 손자가 뛰어노는 모습이 보인다.",1. 할머니 눈에는 이제 성인이 된 손자도 여전히 어린아이처럼 보인다.,2. 성인이 되어도 손자는 언제나 할머니 눈에는 어려 보인다.,Kocommon_Gen
